Id,Timestamp_From,Timestamp_To,Prefix,Type
0,2023-08-24 00:00:00,2023-11-21 14:55:39,2a05:e747::/32,omnipresent
1,2023-11-22 10:13:31,2023-12-05 12:54:56,2a05:e747::/33,control
1,2023-11-22 10:13:31,2023-12-05 12:54:56,2a05:e747:8000::/33,new
2,2023-12-06 09:56:14,2023-12-19 12:13:12,2a05:e747::/33,discrete
2,2023-12-06 09:56:14,2023-12-19 12:13:12,2a05:e747:8000::/34,control
2,2023-12-06 09:56:14,2023-12-19 12:13:12,2a05:e747:c000::/34,new
3,2023-12-20 10:19:48,2024-01-02 11:45:28,2a05:e747::/33,discrete
3,2023-12-20 10:19:48,2024-01-02 11:45:28,2a05:e747:8000::/34,discrete
3,2023-12-20 10:19:48,2024-01-02 11:45:28,2a05:e747:c000::/35,control
3,2023-12-20 10:19:48,2024-01-02 11:45:28,2a05:e747:e000::/35,new
4,2024-01-03 13:13:37,2024-01-16 14:31:25,2a05:e747::/33,discrete
4,2024-01-03 13:13:37,2024-01-16 14:31:25,2a05:e747:8000::/34,discrete
4,2024-01-03 13:13:37,2024-01-16 14:31:25,2a05:e747:c000::/35,discrete
4,2024-01-03 13:13:37,2024-01-16 14:31:25,2a05:e747:e000::/36,control
4,2024-01-03 13:13:37,2024-01-16 14:31:25,2a05:e747:f000::/36,new
5,2024-01-17 12:07:35,2024-01-30 11:52:36,2a05:e747::/33,discrete
5,2024-01-17 12:07:35,2024-01-30 11:52:36,2a05:e747:8000::/34,discrete
5,2024-01-17 12:07:35,2024-01-30 11:52:36,2a05:e747:c000::/35,discrete
5,2024-01-17 12:07:35,2024-01-30 11:52:36,2a05:e747:e000::/36,discrete
5,2024-01-17 12:07:35,2024-01-30 11:52:36,2a05:e747:f000::/37,control
5,2024-01-17 12:07:35,2024-01-30 11:52:36,2a05:e747:f800::/37,new
6,2024-01-31 12:24:09,2024-02-13 12:18:58,2a05:e747::/33,discrete
6,2024-01-31 12:24:09,2024-02-13 12:18:58,2a05:e747:8000::/34,discrete
6,2024-01-31 12:24:09,2024-02-13 12:18:58,2a05:e747:c000::/35,discrete
6,2024-01-31 12:24:09,2024-02-13 12:18:58,2a05:e747:e000::/36,discrete
6,2024-01-31 12:24:09,2024-02-13 12:18:58,2a05:e747:f000::/37,discrete
6,2024-01-31 12:24:09,2024-02-13 12:18:58,2a05:e747:f800::/38,control
6,2024-01-31 12:24:09,2024-02-13 12:18:58,2a05:e747:fc00::/38,new
7,2024-02-14 10:03:01,2024-02-27 12:39:38,2a05:e747::/33,discrete
7,2024-02-14 10:03:01,2024-02-27 12:39:38,2a05:e747:8000::/34,discrete
7,2024-02-14 10:03:01,2024-02-27 12:39:38,2a05:e747:c000::/35,discrete
7,2024-02-14 10:03:01,2024-02-27 12:39:38,2a05:e747:e000::/36,discrete
7,2024-02-14 10:03:01,2024-02-27 12:39:38,2a05:e747:f000::/37,discrete
7,2024-02-14 10:03:01,2024-02-27 12:39:38,2a05:e747:f800::/38,discrete
7,2024-02-14 10:03:01,2024-02-27 12:39:38,2a05:e747:fc00::/39,control
7,2024-02-14 10:03:01,2024-02-27 12:39:38,2a05:e747:fe00::/39,new
8,2024-02-28 10:20:55,2024-03-12 09:03:26,2a05:e747::/33,discrete
8,2024-02-28 10:20:55,2024-03-12 09:03:26,2a05:e747:8000::/34,discrete
8,2024-02-28 10:20:55,2024-03-12 09:03:26,2a05:e747:c000::/35,discrete
8,2024-02-28 10:20:55,2024-03-12 09:03:26,2a05:e747:e000::/36,discrete
8,2024-02-28 10:20:55,2024-03-12 09:03:26,2a05:e747:f000::/37,discrete
8,2024-02-28 10:20:55,2024-03-12 09:03:26,2a05:e747:f800::/38,discrete
8,2024-02-28 10:20:55,2024-03-12 09:03:26,2a05:e747:fc00::/39,discrete
8,2024-02-28 10:20:55,2024-03-12 09:03:26,2a05:e747:fe00::/40,control
8,2024-02-28 10:20:55,2024-03-12 09:03:26,2a05:e747:ff00::/40,new
9,2024-03-13 08:35:34,2024-03-26 10:06:11,2a05:e747::/33,discrete
9,2024-03-13 08:35:34,2024-03-26 10:06:11,2a05:e747:8000::/34,discrete
9,2024-03-13 08:35:34,2024-03-26 10:06:11,2a05:e747:c000::/35,discrete
9,2024-03-13 08:35:34,2024-03-26 10:06:11,2a05:e747:e000::/36,discrete
9,2024-03-13 08:35:34,2024-03-26 10:06:11,2a05:e747:f000::/37,discrete
9,2024-03-13 08:35:34,2024-03-26 10:06:11,2a05:e747:f800::/38,discrete
9,2024-03-13 08:35:34,2024-03-26 10:06:11,2a05:e747:fc00::/39,discrete
9,2024-03-13 08:35:34,2024-03-26 10:06:11,2a05:e747:fe00::/40,discrete
9,2024-03-13 08:35:34,2024-03-26 10:06:11,2a05:e747:ff00::/41,control
9,2024-03-13 08:35:34,2024-03-26 10:06:11,2a05:e747:ff80::/41,new
10,2024-03-27 10:09:43,2024-04-09 08:18:25,2a05:e747::/33,discrete
10,2024-03-27 10:09:43,2024-04-09 08:18:25,2a05:e747:8000::/34,discrete
10,2024-03-27 10:09:43,2024-04-09 08:18:25,2a05:e747:c000::/35,discrete
10,2024-03-27 10:09:43,2024-04-09 08:18:25,2a05:e747:e000::/36,discrete
10,2024-03-27 10:09:43,2024-04-09 08:18:25,2a05:e747:f000::/37,discrete
10,2024-03-27 10:09:43,2024-04-09 08:18:25,2a05:e747:f800::/38,discrete
