Session_ID_128,temporal_behavior,network_selection,address_selection
51322,periodic,inconsistent,unknown
78931,periodic,independent,unknown
81392,periodic,independent,unknown
74007,periodic,independent,unknown
80161,periodic,independent,unknown
76470,periodic,independent,unknown
75238,periodic,independent,unknown
68870,periodic,independent,unknown
71333,periodic,independent,unknown
77702,periodic,independent,unknown
70103,periodic,independent,unknown
82623,periodic,independent,unknown
64276,periodic,inconsistent,unknown
72558,periodic,independent,unknown
19458,periodic,independent,unknown
44880,periodic,independent,unknown
19083,periodic,inconsistent,unknown
64,periodic,independent,unknown
35301,periodic,independent,unknown
19084,periodic,inconsistent,unknown
24286,periodic,inconsistent,unknown
48275,periodic,inconsistent,unknown
14455,periodic,inconsistent,unknown
29286,periodic,dependent,unknown
33220,periodic,inconsistent,unknown
55793,periodic,inconsistent,unknown
59282,periodic,inconsistent,unknown
6444,periodic,single prefix,unknown
12687,periodic,inconsistent,unknown
32446,periodic,independent,unknown
34263,periodic,inconsistent,unknown
50342,periodic,inconsistent,unknown
2805,intermittent,inconsistent,unknown
29287,periodic,dependent,unknown
7676,periodic,inconsistent,unknown
62480,periodic,inconsistent,unknown
16401,periodic,inconsistent,unknown
9465,periodic,inconsistent,unknown
49646,periodic,independent,unknown
909,intermittent,inconsistent,unknown
66072,periodic,inconsistent,unknown
54843,periodic,inconsistent,unknown
46163,intermittent,inconsistent,unknown
52304,periodic,inconsistent,unknown
41221,periodic,inconsistent,unknown
1791,intermittent,inconsistent,unknown
47298,periodic,inconsistent,unknown
57034,periodic,inconsistent,unknown
30367,periodic,inconsistent,unknown
25248,periodic,inconsistent,unknown
60805,periodic,inconsistent,unknown
26393,periodic,inconsistent,unknown
29288,periodic,dependent,unknown
19085,periodic,inconsistent,unknown
22483,periodic,inconsistent,unknown
20720,periodic,inconsistent,unknown
59283,periodic,inconsistent,unknown
15542,periodic,inconsistent,unknown
6445,periodic,single prefix,unknown
6636,periodic,inconsistent,unknown
49254,periodic,inconsistent,unknown
19086,periodic,inconsistent,random
29289,periodic,dependent,unknown
62481,periodic,inconsistent,unknown
24287,periodic,inconsistent,unknown
4052,periodic,inconsistent,unknown
31324,intermittent,inconsistent,unknown
36164,periodic,independent,unknown
66073,periodic,inconsistent,unknown
7677,periodic,inconsistent,unknown
71334,periodic,independent,unknown
19459,periodic,independent,unknown
68871,periodic,independent,unknown
76471,periodic,independent,unknown
75239,periodic,independent,unknown
44881,periodic,independent,unknown
82624,periodic,independent,unknown
32447,periodic,independent,unknown
74008,periodic,independent,unknown
70104,periodic,independent,unknown
72559,periodic,independent,unknown
78932,periodic,independent,unknown
80162,periodic,independent,unknown
81393,periodic,independent,unknown
64277,periodic,inconsistent,unknown
77703,periodic,independent,unknown
36515,periodic,inconsistent,unknown
27201,intermittent,single prefix,structured
42894,intermittent,inconsistent,unknown
62048,intermittent,single prefix,structured
29290,periodic,dependent,unknown
19087,periodic,inconsistent,unknown
55794,periodic,inconsistent,unknown
12688,periodic,inconsistent,unknown
51323,periodic,inconsistent,unknown
14456,periodic,inconsistent,unknown
56647,intermittent,single prefix,structured
66004,one-off,single prefix,structured
16402,periodic,inconsistent,unknown
6637,periodic,inconsistent,unknown
42154,periodic,inconsistent,unknown
29291,periodic,dependent,unknown
49255,periodic,inconsistent,unknown
62381,intermittent,single prefix,structured
35302,periodic,independent,unknown
9466,periodic,inconsistent,unknown
40584,periodic,independent,structured
10518,periodic,inconsistent,unknown
84253,one-off,single prefix,structured
